Version Number,File Name,LOC_Touched,NumberRevisions,NumberBugFix,LOC_Added,MAX_LOC_Added,Chg_Set_Size,Max_Chg_Set,AVG_Chg_Set,Avg_LOC_Added,Buggy
31,doc/examples/java-example/src/main/java/example/GenericMain.java,10,3,2,1,1,28,26,9,0,Yes
31,doc/examples/java-example/src/main/java/example/SpecificMain.java,8,1,0,0,0,26,26,26,0,No
31,doc/examples/mr-example/src/main/java/example/AvroWordCount.java,0,0,0,0,0,0,0,0,0,No
31,doc/examples/mr-example/src/main/java/example/GenerateData.java,0,0,0,0,0,0,0,0,0,No
31,doc/examples/mr-example/src/main/java/example/MapReduceAvroWordCount.java,0,0,0,0,0,0,0,0,0,No
31,doc/examples/mr-example/src/main/java/example/MapReduceColorCount.java,0,0,0,0,0,0,0,0,0,No
31,doc/examples/mr-example/src/main/java/example/MapredColorCount.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/archetypes/avro-service-archetype/src/main/resources/archetype-resources/src/main/java/service/SimpleOrderService.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/archetypes/avro-service-archetype/src/main/resources/archetype-resources/src/main/java/transport/SimpleOrderServiceClient.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/archetypes/avro-service-archetype/src/main/resources/archetype-resources/src/main/java/transport/SimpleOrderServiceEndpoint.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/archetypes/avro-service-archetype/src/main/resources/archetype-resources/src/test/java/integration/SimpleOrderServiceIntegrationTest.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/AvroMissingFieldException.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/AvroRemoteException.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/AvroRuntimeException.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/AvroTypeException.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/Conversion.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/Conversions.java,53,3,3,35,35,6,2,2,11,Yes
31,lang/java/avro/src/main/java/org/apache/avro/InvalidAvroMagicException.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/InvalidNumberEncodingException.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/JsonProperties.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/LogicalType.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/LogicalTypes.java,33,5,3,14,10,31,11,6,2,Yes
31,lang/java/avro/src/main/java/org/apache/avro/Protocol.java,23,3,0,1,1,11,5,3,0,No
31,lang/java/avro/src/main/java/org/apache/avro/Resolver.java,309,7,4,77,28,58,18,8,11,Yes
31,lang/java/avro/src/main/java/org/apache/avro/Schema.java,47,5,1,28,21,10,3,2,5,Yes
31,lang/java/avro/src/main/java/org/apache/avro/SchemaBuilder.java,21,5,1,3,1,39,21,7,0,Yes
31,lang/java/avro/src/main/java/org/apache/avro/SchemaBuilderException.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/SchemaCompatibility.java,3,2,0,0,0,2,1,1,0,No
31,lang/java/avro/src/main/java/org/apache/avro/SchemaNormalization.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/SchemaParseException.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/SchemaValidationException.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/SchemaValidationStrategy.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/SchemaValidator.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/SchemaValidatorBuilder.java,0,0,0,0,0,0,0,0,0,No
31,lang/java/avro/src/main/java/org/apache/avro/UnknownAvroCodecException.java,0,0,0,0,0,0,0,0,0,No
