Dataset,# Training,Classifier,Balancing,FeatureSelection,Precision,Recall,ROC Area,Kappa
AVRO,4,NB,No sampling,True,0.9719500244977952,0.9270942867157378,0.8657695071995808,0.5202285103035884
AVRO,5,RF,No sampling,True,0.9761762954139369,0.9355022831050228,0.8333737633181126,0.5471047987225813
AVRO,5,IBk,No sampling,True,0.9761762954139369,0.9355022831050228,0.8341567969939118,0.5471047987225813
AVRO,5,NB,No sampling,True,0.9637716162689596,0.9490106544901066,0.8236042406561813,0.49209707573335304
AVRO,6,RF,No sampling,True,0.9618055555555556,1.0,0.7544642857142857,0.657258819856385
AVRO,6,IBk,No sampling,True,0.9618055555555556,1.0,0.7544642857142857,0.657258819856385
AVRO,6,NB,No sampling,True,0.9618055555555556,1.0,0.7544642857142857,0.657258819856385
AVRO,7,RF,No sampling,True,0.9608981804103756,1.0,0.7560386473429952,0.6595660670391207
AVRO,7,IBk,No sampling,True,0.9608981804103756,1.0,0.7560386473429952,0.6595660670391207
AVRO,7,NB,No sampling,True,0.9608981804103756,1.0,0.7560386473429952,0.6595660670391207
AVRO,8,RF,No sampling,True,0.966184416942653,0.9757085020242915,0.8331486893645759,0.629464018695966
AVRO,8,IBk,No sampling,True,0.9569901667379221,0.9850378454497447,0.6980026174352765,0.5813821442287661
AVRO,8,NB,No sampling,True,0.9618204210896721,0.9622719004870035,0.7665072849608372,0.5413701848426339
AVRO,9,RF,No sampling,True,0.9612991349218394,1.0,0.7759226713532513,0.6932276429296043
AVRO,9,IBk,No sampling,True,0.9612991349218394,1.0,0.7759226713532513,0.6932276429296043
AVRO,9,NB,No sampling,True,0.9612991349218394,1.0,0.7759226713532513,0.6932276429296043
AVRO,10,RF,No sampling,True,0.9637547784227666,1.0,0.8527042577675489,0.8094110065935122
AVRO,10,IBk,No sampling,True,0.9637547784227666,1.0,0.8527042577675489,0.8094110065935122
AVRO,10,NB,No sampling,True,0.9637547784227666,1.0,0.8527042577675489,0.8094110065935122
AVRO,11,RF,No sampling,True,0.9659696064423952,1.0,0.8541202672605791,0.8124494466246533
AVRO,11,IBk,No sampling,True,0.9659696064423952,1.0,0.8541202672605791,0.8124494466246533
AVRO,11,NB,No sampling,True,0.9659696064423952,1.0,0.8541202672605791,0.8124494466246533
AVRO,12,RF,No sampling,True,0.9679433305318765,1.0,0.8573717948717948,0.8178490308369841
AVRO,12,IBk,No sampling,True,0.9679433305318765,1.0,0.8573717948717948,0.8178490308369841
AVRO,12,NB,No sampling,True,0.9679045942052185,1.0,0.8573717948717948,0.8175887752476296
AVRO,13,RF,No sampling,True,0.9622950819672131,0.9466651307453059,0.8083527172589091,0.5795882887913558
AVRO,13,IBk,No sampling,True,0.9620201310861424,0.9468379218983988,0.8083595037966843,0.5783320131213463
AVRO,13,NB,No sampling,True,0.9531903464681732,0.9539223591752102,0.8170909387144296,0.5388892383456673
AVRO,14,RF,No sampling,True,0.9714702207413578,1.0,0.8606307222787386,0.8240025879902356
AVRO,14,IBk,No sampling,True,0.971450898671529,0.9993033226152197,0.8681789101761019,0.8204342562666603
AVRO,14,NB,No sampling,True,0.9722357695255347,0.9971061093247588,0.8660312365107385,0.8154033540971959
