Dataset,# Training,% Training,% Defect Training,Classifier,Balancing,FeatureSelection,Precision,Recall,ROC Area,Kappa
AVRO,1,0.4983142279163857,0.056833558863328824,RF,No sampling,False,0.9431664411366711,1.0,0.8810719409715105,0.0
AVRO,1,0.4983142279163857,0.056833558863328824,IBk,No sampling,False,0.9586834733893558,0.9820659971305595,0.7891601762656282,0.3453694134520068
AVRO,1,0.4983142279163857,0.056833558863328824,NB,No sampling,False,0.967896502156205,0.9660449545671927,0.8354151958886535,0.42791590001346363
AVRO,1,0.4983142279163857,0.056833558863328824,RF,Under sampling,False,0.9726875455207574,0.9580344332855093,0.8401621319259411,0.4578260769883302
AVRO,1,0.4983142279163857,0.056833558863328824,IBk,Under sampling,False,0.9736995908825249,0.9560975609756097,0.8346949511511922,0.4623523599946105
AVRO,1,0.4983142279163857,0.056833558863328824,NB,Under sampling,False,0.9759862778730704,0.952415112386418,0.8461267298247213,0.47422043249018375
AVRO,1,0.4983142279163857,0.056833558863328824,RF,Over sampling,False,0.9431664411366711,1.0,0.869218419074947,0.0
AVRO,1,0.4983142279163857,0.056833558863328824,IBk,Over sampling,False,0.9617834394904459,0.9748923959827833,0.8343367834938854,0.3715205779208985
AVRO,1,0.4983142279163857,0.056833558863328824,NB,Over sampling,False,0.9700772200772201,0.9612625538020086,0.8565146925979064,0.43815427802795476
AVRO,1,0.4983142279163857,0.056833558863328824,RF,Smote,False,0.9431664411366711,1.0,0.8830703012912482,0.0
AVRO,1,0.4983142279163857,0.056833558863328824,IBk,Smote,False,0.9593552908199019,0.9820659971305595,0.7929391268702602,0.35759994134958817
AVRO,1,0.4983142279163857,0.056833558863328824,NB,Smote,False,0.9683604985618408,0.9660449545671927,0.8369580894688499,0.4341405887580412
AVRO,2,0.6698283649503162,0.07484828051247472,RF,No sampling,False,0.9677187948350072,0.9832361516034985,0.9281183515877394,0.6357344622564494
AVRO,2,0.6698283649503162,0.07484828051247472,IBk,No sampling,False,0.9772477064220183,0.9704810495626822,0.9046002088093925,0.6650450857410914
AVRO,2,0.6698283649503162,0.07484828051247472,NB,No sampling,False,0.9819217434373452,0.9633138969873664,0.918288186145329,0.6717827113653653
AVRO,2,0.6698283649503162,0.07484828051247472,RF,Under sampling,False,0.9843019996262381,0.9597303206997084,0.9222999648701179,0.674849201311487
AVRO,2,0.6698283649503162,0.07484828051247472,IBk,Under sampling,False,0.9857442977190877,0.9575801749271137,0.9226630420507972,0.6766025865556057
AVRO,2,0.6698283649503162,0.07484828051247472,NB,Under sampling,False,0.9867117964146922,0.9561467444120505,0.9246358238705178,0.6777375586244957
AVRO,2,0.6698283649503162,0.07484828051247472,RF,Over sampling,False,0.9677650429799427,0.9846938775510204,0.9196510650592283,0.6431977252843392
AVRO,2,0.6698283649503162,0.07484828051247472,IBk,Over sampling,False,0.9779735682819384,0.9708454810495627,0.9094617576760434,0.6727239481200776
AVRO,2,0.6698283649503162,0.07484828051247472,NB,Over sampling,False,0.9824126826851622,0.9635568513119533,0.920718094187482,0.6765814297034355
AVRO,2,0.6698283649503162,0.07484828051247472,RF,Smote,False,0.9677187948350072,0.9832361516034985,0.9190108475822761,0.6357344622564494
AVRO,2,0.6698283649503162,0.07484828051247472,IBk,Smote,False,0.9772477064220183,0.9704810495626822,0.9001712171355029,0.6650450857410914
AVRO,2,0.6698283649503162,0.07484828051247472,NB,Smote,False,0.9819217434373452,0.9633138969873664,0.9163868679174801,0.6717827113653653
AVRO,3,0.710298363811357,0.08310749774164408,RF,No sampling,False,0.9598108747044918,1.0,0.8707686335403727,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,IBk,No sampling,False,0.9598108747044918,1.0,0.8733806088027415,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,NB,No sampling,False,0.9548387096774194,0.9963875205254515,0.8742567704243116,0.6095015211794986
AVRO,3,0.710298363811357,0.08310749774164408,RF,Under sampling,False,0.9569332702318978,0.9960591133004926,0.8763548471300064,0.6308893910969958
AVRO,3,0.710298363811357,0.08310749774164408,IBk,Under sampling,False,0.9583254404243228,0.9968472906403941,0.875344185050332,0.6495651287444268
AVRO,3,0.710298363811357,0.08310749774164408,NB,Under sampling,False,0.9580104380831883,0.9946633825944171,0.8742189173270508,0.6356867634602281
AVRO,3,0.710298363811357,0.08310749774164408,RF,Over sampling,False,0.9598108747044918,1.0,0.8665091561362176,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,IBk,Over sampling,False,0.9607193563653573,1.0,0.8707535741058042,0.6905436309197036
AVRO,3,0.710298363811357,0.08310749774164408,NB,Over sampling,False,0.9573930882120877,0.9962233169129721,0.8729489421955688,0.6366136778929372
AVRO,3,0.710298363811357,0.08310749774164408,RF,Smote,False,0.9598108747044918,1.0,0.8755903298350824,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,IBk,Smote,False,0.9598108747044918,1.0,0.8772465329835083,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,NB,Smote,False,0.963662329419232,0.997208538587849,0.878403952785512,0.7055609135848382
AVRO,4,0.8194006309148265,0.0846968238691049,RF,No sampling,False,0.9848714069591528,0.9127234490010515,0.905544004715929,0.5600392676869427
AVRO,4,0.8194006309148265,0.0846968238691049,IBk,No sampling,False,0.9788602941176471,0.9332281808622502,0.8592487041816694,0.582316297270091
AVRO,4,0.8194006309148265,0.0846968238691049,NB,No sampling,False,0.9804938271604938,0.9279121392686062,0.8753725625220543,0.5767544931645239
