Dataset,# Training,Classifier,FeatureSelection,Precision,Recall,ROC Area,Kappa
BOOKKEEPER,1,RF,False,0.9606631989596879,1.0,0.8547010184209686,0.3734448113819357
BOOKKEEPER,1,IBk,False,0.9697980977807442,0.9834179357021997,0.7762280645744873,0.4725917130452519
BOOKKEEPER,1,NB,False,0.9760760073260073,0.9618725324309081,0.8358956440717447,0.46431139012640615
BOOKKEEPER,2,RF,False,0.9698877169105138,1.0,0.8898092995792682,0.723599409416459
BOOKKEEPER,2,IBk,False,0.9764216366158114,0.9878968601999649,0.8712259009826956,0.7211182845167012
BOOKKEEPER,2,NB,False,0.9776749091761396,0.9755598433023446,0.8710018202336081,0.6684840607706498
BOOKKEEPER,3,RF,False,0.9753860443515616,1.0,0.8845109837154563,0.8294309835878424
BOOKKEEPER,3,IBk,False,0.9748201438848921,1.0,0.8355728004730619,0.8248224551910718
BOOKKEEPER,3,NB,False,0.9717120622568093,0.99087410228941,0.8458686817877544,0.7510545853370459
BOOKKEEPER,4,RF,False,0.9730633953847474,1.0,0.8859595031034917,0.7835808195965042
BOOKKEEPER,4,IBk,False,0.9770782396088019,0.9864674248435158,0.8717845051176984,0.7439764800376805
BOOKKEEPER,4,NB,False,0.978019387725036,0.9754327191513121,0.8719768169202184,0.6974227976553888
BOOKKEEPER,5,RF,False,0.9768121997075413,0.9946114577424844,0.8943685405029553,0.7988307386940907
BOOKKEEPER,5,IBk,False,0.9792123311885739,0.981920022688599,0.887808021345757,0.7522954253881426
BOOKKEEPER,5,NB,False,0.9801122847083452,0.9737190395159766,0.8853578041879836,0.7208920669715858
BOOKKEEPER,6,RF,False,0.972114325468143,0.9992253143436028,0.865204675138529,0.7817632217682136
BOOKKEEPER,6,IBk,False,0.9724893629422393,0.994279244383529,0.8322973941381664,0.7573714553434489
BOOKKEEPER,6,NB,False,0.9702239532619279,0.9896311304451463,0.7944196689205926,0.7121370963853916
BOOKKEEPER,1,RF,True,0.9606631989596879,1.0,0.6194968553459119,0.3734448113819357
BOOKKEEPER,1,IBk,True,0.9606631989596879,1.0,0.6194968553459119,0.3734448113819357
BOOKKEEPER,1,NB,True,0.9606631989596879,1.0,0.6194968553459119,0.3734448113819357
BOOKKEEPER,2,RF,True,0.9698877169105138,1.0,0.7922535211267606,0.723599409416459
BOOKKEEPER,2,IBk,True,0.9698877169105138,1.0,0.7922535211267606,0.723599409416459
BOOKKEEPER,2,NB,True,0.9698877169105138,1.0,0.7922535211267606,0.723599409416459
BOOKKEEPER,3,RF,True,0.9753860443515616,1.0,0.863225806451613,0.8294309835878424
BOOKKEEPER,3,IBk,True,0.9753860443515616,1.0,0.863225806451613,0.8294309835878424
BOOKKEEPER,3,NB,True,0.9744055673690315,1.0,0.863225806451613,0.8214231685467392
BOOKKEEPER,4,RF,True,0.9730633953847474,1.0,0.8310010764262648,0.7835808195965042
BOOKKEEPER,4,IBk,True,0.9730633953847474,1.0,0.8310010764262648,0.7835808195965042
BOOKKEEPER,4,NB,True,0.972590602492283,1.0,0.8310010764262648,0.7789425077052743
BOOKKEEPER,5,RF,True,0.9736969278564032,1.0,0.8441080196399345,0.8024768441953477
BOOKKEEPER,5,IBk,True,0.9736969278564032,1.0,0.8441080196399345,0.8024768441953477
BOOKKEEPER,5,NB,True,0.9736969278564032,1.0,0.8441080196399345,0.8024768441953477
BOOKKEEPER,6,RF,True,0.9719664060237475,1.0,0.8322938322938322,0.7849013424108165
BOOKKEEPER,6,IBk,True,0.9719664060237475,1.0,0.8322938322938322,0.7849013424108165
BOOKKEEPER,6,NB,True,0.9719288761897407,1.0,0.8322938322938322,0.7845513390745661
