Version Number,File Name,LOC_Touched,NumberRevisions,NumberBugFix,LOC_Added,MAX_LOC_Added,Chg_Set_Size,Max_Chg_Set,AVG_Chg_Set,Avg_LOC_Added,Buggy
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/ComponentStarter.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/Lifecycle.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/LifecycleComponent.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/LifecycleComponentStack.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/LifecycleListener.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/package-info.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/concurrent/FutureEventListener.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/concurrent/FutureUtils.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/concurrent/package-info.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/ComponentConfiguration.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/ConcurrentConfiguration.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/ConfigDef.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/ConfigException.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/ConfigKey.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/ConfigKeyGroup.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/Type.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/Validator.java,0,0,0,0,0,0,0,0,0,No
